"module","route_path","page_component","status","sidenav_active","sidenav_roles","sidenav_departments","dashboard_card_active","dashboard_roles","dashboard_departments","route_guard_roles","route_guard_departments","current_drift","should_roles","should_departments","change_from_current","rationale"
"Sales","/app/sales/clients/contacts","src/pages/user/sales/clients/contacts/ContactsManagement.jsx","stub","no-entry","","","no-entry","","","","SAL","resolved - implemented 2026-07: MGM dropped from route to match sidenav/dashboard. Sales Order Book link/chart on sales/reports made access-aware (see README) so an MGM viewer never sees a dead link.","","SAL","implemented","Literal empty stub per docs; same tightening rationale as sales/clients"
"Sales","/app/sales/leads","src/pages/user/sales/leads/LeadsPageLayout.jsx","built","yes","","SAL","yes","","SAL","","SAL","resolved - implemented 2026-07: MGM dropped from route to match sidenav/dashboard. Sales Order Book link/chart on sales/reports made access-aware (see README) so an MGM viewer never sees a dead link.","","SAL","implemented","Same R3 rationale as Clients - Tier-1/2, dept-only, MGM sees the Reports rollup instead"
"Sales","/app/sales/leads/overview","src/pages/user/sales/leads/overview/LeadsOverview.jsx","built","no-entry","","","no-entry","","","","SAL","resolved - implemented 2026-07: MGM dropped from route to match sidenav/dashboard. Sales Order Book link/chart on sales/reports made access-aware (see README) so an MGM viewer never sees a dead link.","","SAL","implemented","Most mature page in the app per docs; same tightening rationale as sales/leads"
"Sales","/app/sales/leads/list","src/pages/user/sales/leads/list/LeadsManagement.jsx","built","no-entry","","","no-entry","","","","SAL","resolved - implemented 2026-07: MGM dropped from route to match sidenav/dashboard. Sales Order Book link/chart on sales/reports made access-aware (see README) so an MGM viewer never sees a dead link.","","SAL","implemented","Fully built CRUD with stage-transition workflow; same tightening rationale as sales/leads"
"Sales","/app/sales/leads/targets","src/pages/user/sales/leads/targets/SalesTargetsManagement.jsx","built (verify vs docs)","no dedicated nav/dashboard entry (reached in-page from Leads)","","","no-entry","","","manager","SAL","resolved - implemented 2026-07: MGM dropped from route to match sidenav/dashboard. Sales Order Book link/chart on sales/reports made access-aware (see README) so an MGM viewer never sees a dead link.","manager","SAL","implemented","R4 manager-function (quota-setting), Sales-only; note DASHBOARD-CURRENT-STATE.md section 2 claims no in-app target-management UI exists yet, but this route+page are present in code - verify which is accurate"
"Sales","/app/sales/orders","src/pages/user/sales/orders/OrdersPageLayout.jsx","built","yes","manager","SAL","yes","manager","SAL","manager","SAL","resolved - implemented 2026-07: MGM dropped from route to match sidenav/dashboard. Sales Order Book link/chart on sales/reports made access-aware (see README) so an MGM viewer never sees a dead link.","manager","SAL","implemented","R4 manager-function, order-book value is comp-adjacent; MGM sees this rolled up via Sales Reports only, not raw order rows"
"Sales","/app/sales/orders/all","src/pages/user/sales/orders/Orders.jsx","built","no-entry","","","no-entry","","","manager","SAL","resolved - implemented 2026-07: MGM dropped from route to match sidenav/dashboard. Sales Order Book link/chart on sales/reports made access-aware (see README) so an MGM viewer never sees a dead link.","manager","SAL","implemented","Same rationale as sales/orders layout"
"Sales","/app/sales/orders/budgets","src/pages/user/sales/orders/budgets/SalesBudgetsManagement.jsx","built","no-entry","","","no-entry","","","manager","SAL","resolved - implemented 2026-07: MGM dropped from route to match sidenav/dashboard. Sales Order Book link/chart on sales/reports made access-aware (see README) so an MGM viewer never sees a dead link.","manager","SAL","implemented","Same rationale as sales/orders layout"
"Sales","/app/sales/quotations","src/pages/user/sales/quotations/Quotations.jsx","stub, orphan-route","commented-out","","SAL","no-entry","","","","SAL","resolved - implemented 2026-07: manager role dropped from route to match the (still commented-out) nav draft","","SAL","implemented","R3 List-tier record set reps maintain day-to-day, same shape as Leads/Clients, not a manager-exclusive action; also revive the nav entry once the page has real content (docs: fold into Leads or formally retire)"
"HR","/app/hr","(index -> redirects to hr/employees)","layout-only","n/a","","","n/a","","","","","none - unconditional redirect, not independently gated","","","n/a","Redirects immediately to hr/employees; see that row"
"HR","/app/hr/employees","src/pages/user/hr/employeeManagement/EmployeePageLayout.jsx","built","yes","","HR","yes","","HR","","HR","none - all three sources agree","","HR","no","R3 Tier-1/2, HR-only, no role restriction - already correct"
"HR","/app/hr/employees/overview","src/pages/user/hr/employeeManagement/overview/EmployeeOverview.jsx","built (2 KPI-label bugs, not access-related)","no-entry","","","no-entry","","","","HR","none","","HR","no","Same as hr/employees"
"HR","/app/hr/employees/list","src/pages/user/hr/employeeManagement/list/EmployeeManagement.jsx","built","no-entry","","","no-entry","","","","HR","none","","HR","no","Same as hr/employees"
"HR","/app/hr/attendance","src/pages/user/hr/attendanceManagement/AttendancePageLayout.jsx","built","yes","","HR","yes","","HR","","HR","none - all three sources agree","","HR","no","R3, already correct"
"HR","/app/hr/attendance/overview","src/pages/user/hr/attendanceManagement/overview/AttendanceOverview.jsx","stub (flagship roadmap gap)","no-entry","","","no-entry","","","","HR","none","","HR","no","Literal empty stub despite a rich, already-built backing view per docs; top roadmap priority to build, access gate already correct"
"HR","/app/hr/attendance/list","src/pages/user/hr/attendanceManagement/list/AttendanceManagement.jsx","built","no-entry","","","no-entry","","","","HR","none","","HR","no","Fully built (467 lines) per docs; already correct"
"HR","/app/hr/organization-chart","src/pages/user/hr/organizationChart/OrganizationChart.jsx","built","yes","","HR","yes","","HR","","HR","none - all three sources agree","","HR","no","R3 Tier-1/2, HR-only, no role restriction; new page added 2026-07, maps every Active employee to their manager via employees.manager_id"
"HR","/app/hr/departments","src/pages/user/hr/departments/Departments.jsx","stub","commented-out","manager","HR","no-entry","","","","HR","inactive nav draft adds a manager role restriction the live route does not have","","HR","no (matches live route)","R3 List-tier, HR-only, no role restriction; drop the draft's manager role if this nav entry is ever reactivated"
"HR","/app/hr/leaves","src/pages/user/hr/leaveManagement/LeaveManagement.jsx","stub","commented-out","","HR","no-entry","","","","HR","none - inactive draft already matches the live route","","HR","no","R3, already consistent, just currently hidden from nav"
"HR","/app/hr/recruitment","src/pages/user/hr/recruitment/Recruitment.jsx","stub","commented-out","manager","HR","no-entry","","","","HR","inactive nav draft adds a manager role restriction the live route does not have","","HR","no (matches live route)","R3, HR-only, no role restriction; drop the draft's manager role if reactivated"
"HR","/app/hr/performance","src/pages/user/hr/performance/Performance.jsx","stub","commented-out","","HR","no-entry","","","","HR","none - inactive draft already matches the live route","","HR","no","R3, already consistent, just currently hidden from nav"
"HR","/app/hr/reports","(none - HRRoutes.jsx has no matching route)","dead-link","yes","","HR","no-entry (intentionally omitted per in-file comment)","n/a","n/a","n/a","n/a","active nav link points at a route that does not exist - confirmed dead link in production","manager","HR;MGM","n/a - route not built yet","R5 target for whenever this route is built: HR department + MGM exec visibility, manager role. Fix or remove the nav link now regardless (roadmap Group A item)"
"HR","/app/hr/onboarding","(none - no route ever mounted in HRRoutes.jsx)","unbuilt-config","commented-out","","HR","no-entry","n/a","n/a","n/a","n/a","dead sidenav config referencing a path with no backing route at all","","","n/a","No page exists; clean up the dead config or build the route"
"HR","/app/hr/policies","(none - no route ever mounted in HRRoutes.jsx)","unbuilt-config","commented-out","","HR","no-entry","n/a","n/a","n/a","n/a","dead sidenav config referencing a path with no backing route at all","","","n/a","No page exists; clean up the dead config or build the route"
"HR","/app/hr/forms","(none - no route ever mounted in HRRoutes.jsx)","unbuilt-config","commented-out","","HR","no-entry","n/a","n/a","n/a","n/a","dead sidenav config referencing a path with no backing route at all","","","n/a","No page exists; clean up the dead config or build the route"
"HR","/app/hr/training","(none - no route ever mounted in HRRoutes.jsx)","unbuilt-config","commented-out","","HR","no-entry","n/a","n/a","n/a","n/a","dead sidenav config referencing a path with no backing route at all","","","n/a","No page exists; clean up the dead config or build the route"
"Finance","/app/finance","(index -> redirects to finance/reports)","layout-only","n/a","","","n/a","","","","","none - unconditional redirect, not independently gated","","","n/a","Redirects immediately to finance/reports; see that row"
"Finance","/app/finance/invoices","src/pages/user/finance/invoices/Invoices.jsx","built","yes","","FIN;MGM","yes","manager","FIN;MGM","","FIN","resolved - implemented 2026-07: sidenav/dashboard/route now all FIN-only, no role restriction","","FIN","implemented","R3: docs call this page 'correctly Tier-1-only' - individual-contributor tier per DASHBOARD-CONVENTIONS.md's own tier table; manager-gating a Tier-1 list contradicts that framework. Fixes the sidenav mismatch by removing the role concept here rather than adding the missing role to sidenav"
"Finance","/app/finance/payments","src/pages/user/finance/payments/Payments.jsx","built","yes","","FIN;MGM","yes","","FIN;MGM","","FIN","resolved - implemented 2026-07: MGM dropped from route to match sidenav/dashboard","","FIN","implemented","R3, already department-only with no role restriction - matches"
"Finance","/app/finance/bills","src/pages/user/finance/bills/Bills.jsx","built","yes","manager","FIN;MGM","yes","manager","FIN;MGM","","FIN","resolved - implemented 2026-07: manager role and MGM both dropped","","FIN","implemented","Same Tier-1 rationale as Invoices (mirrors Invoices file-for-file per code comments; tighten together)"
"Finance","/app/finance/vendor-payments","src/pages/user/finance/vendorPayments/VendorPayments.jsx","built","yes","","FIN;MGM","yes","","FIN;MGM","","FIN","resolved - implemented 2026-07: MGM dropped from route to match sidenav/dashboard","","FIN","implemented","R3, already correct"
"Finance","/app/finance/journal-entries","src/pages/user/finance/journalEntries/JournalEntries.jsx","built","yes","manager","FIN;MGM","yes","manager","FIN;MGM","","FIN","resolved - implemented 2026-07: manager role and MGM both dropped","","FIN","implemented","Same Tier-1 rationale as Invoices/Bills"
"Finance","/app/finance/chart-of-accounts","src/pages/user/finance/chartOfAccounts/ChartOfAccounts.jsx","built","yes","manager","FIN;MGM","yes","manager","FIN;MGM","","FIN","resolved - implemented 2026-07: manager role and MGM both dropped","","FIN","implemented","Same Tier-1 rationale; reference data pairs directly with Journal Entries"
"Finance","/app/finance/claims-management","src/pages/user/finance/claimsManagement/ClaimsManagement.jsx","stub, orphan-route","commented-out","","FIN","no-entry (commented)","","","","FIN","resolved - implemented 2026-07: route MGM dropped to match the (still commented-out) nav drafts","","FIN","implemented","R3 Tier-1, FIN-only; revive the nav entry once the page has real data"
"Finance","/app/finance/reports","src/pages/user/finance/financialReports/FinancialReports.jsx","built","yes","manager","FIN;SAL;MGM","yes","manager","FIN;SAL;MGM","manager","FIN;MGM","resolved - implemented 2026-07: SAL dropped from sidenav/dashboard/route","manager","FIN;MGM","implemented","R5 department Reports; MGM exec visibility. SAL removed 2026-07 -- Sales Reports' own invoiceBudgetScorecardData already gives Sales managers this reconciliation."
"Operations","/app/operations","(index -> redirects to operations/reports)","layout-only","n/a","","","n/a","","","","","none - unconditional redirect, not independently gated","","","n/a","Redirects immediately to operations/reports; see that row"
"Operations","/app/operations/reports","src/pages/user/operations/reports/OperationsReports.jsx","built","yes","manager","OPS;MGM","yes","manager","OPS;MGM","manager","OPS;MGM","resolved - implemented 2026-07: MGM added back to the route to match sidenav/dashboard","manager","OPS;MGM","implemented","R5 Tier-3 Reports; Top Management should have the same exec visibility here as on Sales/Finance Reports - the route is currently under-scoped relative to its own nav/dashboard entries"
"Employee Self-Service","/app/employee","(index -> redirects to employee/onboarding)","layout-only","n/a","","","n/a","","","","","none - unconditional redirect, not independently gated","","","n/a","Redirects immediately to employee/onboarding; see that row"
"Employee Self-Service","/app/employee/onboarding","src/pages/user/employee/onboarding/Onboarding.jsx","built","no-entry","","","no-entry","","","","","none","","","no","R2 universal self-service form"
"Employee Self-Service","/app/employee/leave-request","src/pages/user/employee/leaveRequest/LeaveRequest.jsx","built","no-entry (stale commented reference to a non-existent 'employee/attendance' path)","","","no-entry","","","","","none","","","no","R2 universal self-service; note the dead EMPLOYEE nav-segment comment references a path that was never a real route here"
"Employee Self-Service","/app/employee/claims","src/pages/user/employee/claims/Claims.jsx","built","no-entry (same stale comment block)","","","no-entry","","","","","none","","","no","R2 universal self-service"
"Employee Self-Service","/app/employee/documents","src/pages/user/employee/myDocuments/MyDocuments.jsx","built","no-entry","","","no-entry","","","","","none","","","no","R2 universal self-service"
"Employee Self-Service","/app/employee/policies","src/pages/user/employee/policies/Policies.jsx","built","no-entry","","","no-entry","","","","","none","","","no","R2 universal self-service"
"IT","/app/it","(index -> redirects to it/assets)","layout-only","n/a","","","n/a","","","","","none - unconditional redirect, not independently gated","","","n/a","Redirects immediately to it/assets; see that row"
"IT","/app/it/dashboard","src/pages/user/it/dashboard/ITDashboard.jsx","built (external-links grid, not analytics despite the name)","yes","","IT","yes","","IT","","IT","none - all three sources agree","","IT","no","R3, already correct; docs flag renaming away from 'Dashboard' as a naming issue, not an access issue"
"IT","/app/it/assets","src/pages/user/it/ITAssetManagement/ITAssetsPageLayout.jsx","built","yes","","IT","yes","","IT","","IT","none - all three sources agree","","IT","no","R3, already correct"
"IT","/app/it/assets/overview","src/pages/user/it/ITAssetManagement/overview/ITAssetOverview.jsx","built","no-entry","","","no-entry","","","","IT","none","","IT","no","Fully built (4 KPI cards + 7 charts) per docs; already correct"
"IT","/app/it/assets/list","src/pages/user/it/ITAssetManagement/list/ITAssetManagement.jsx","built","no-entry","","","no-entry","","","","IT","none","","IT","no","Fully built CRUD per docs; already correct"
"IT","/app/it/software","src/pages/user/it/softwareManagement/SoftwareManagement.jsx","stub","yes","","IT","yes","","IT","","IT","none - all three sources agree","","IT","no","R3, already correct; pure stub per docs, no backing schema yet"
"Help","/app/help","src/pages/user/help/Help.jsx","built","yes","","","no-entry","","","","","none","","","no","R2 universal support page"
"System","/app/system","(index -> redirects to system/users)","layout-only","n/a","","","n/a","","","","","none - unconditional redirect, not independently gated","","","n/a","Redirects immediately to system/users; see that row"
"System","/app/system/users","src/pages/user/system/userManagement/list/Users.jsx","built","yes","superadmin","","no-entry","n/a","n/a","superadmin","","none - all sources agree (no dashboard card exists for this module)","superadmin","","no","Superadmin-only, department-agnostic by design; already correct"
"System","/app/admin/audit-logs","(none - no route ever mounted in SuperadminRoutes.jsx)","unbuilt-config","commented-out","superadmin","","no-entry","n/a","n/a","n/a","n/a","dead sidenav config referencing a path with no backing route at all","","","n/a","No page exists; clean up the dead config or build the route"
"System","/app/admin/settings","(none - no route ever mounted in SuperadminRoutes.jsx)","unbuilt-config","commented-out","superadmin","","no-entry","n/a","n/a","n/a","n/a","dead sidenav config referencing a path with no backing route at all","","","n/a","No page exists; clean up the dead config or build the route"
"Public","/login","src/pages/login/LoginPage.jsx","built","n/a (pre-auth)","","","n/a","","","","","n/a","","","n/a","R1 public route, not part of RBAC"
"Public","/","(redirects to /login)","layout-only","n/a","","","n/a","","","","","n/a","","","n/a","R1 public route, not part of RBAC"
